Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
544,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']",0.23152730728985454,1.4584525706265394,1292.3789998005996,23.152730728985453,0.22621259397155588,1.7077939333888015,22.621259397155587,1.3,8
545,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']",0.2129342202737418,1.8846390225162182,1170.4730707391193,21.293422027374177,0.2267775094068146,1.7132253841633716,22.67775094068146,1.3,3
546,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']",0.23924959829879255,1.365834393944355,1797.0030202301946,23.924959829879256,0.44252839859581167,0.8081210261073248,44.252839859581165,0.7,3
547,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']",0.21630448491324775,1.5046866296078303,1338.9944351936927,21.630448491324774,0.3994397989039152,0.941059134276289,39.94397989039152,1.6,3
548,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']",0.19374897734088858,1.6010403565907296,1288.197607625533,19.374897734088858,0.39895129012564917,0.9482212438342771,39.895129012564915,1.9,3
549,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']",0.21742686158941296,1.485538847488497,1343.1048224165106,21.742686158941297,0.4011994392671059,0.955399761236913,40.11994392671059,2.0,3
550,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']",0.24082966195597613,1.3587581191124536,1824.303023805097,24.082966195597614,0.4474975246445675,0.8002764967500404,44.74975246445675,0.7,3
551,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.22300821841352148,1.4571893636687943,1377.273630318348,22.300821841352146,0.40406666833482374,0.9322122215542187,40.406666833482376,1.6,3
552,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.1701866941930208,1.8494536862404993,867.9552695364283,17.01866941930208,0.40356259735937067,0.9393153384094949,40.356259735937066,1.9,3
553,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.21855658641529033,1.4809993974106552,1360.3238843336094,21.855658641529033,0.4057611766104875,0.9464354446947288,40.57611766104875,2.0,3
