set_number,features
132,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'PREMISES_Freq']"
133,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Loca_Premi_Freq']"
134,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq']"
135,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
136,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']"
137,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']"
138,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq']"
139,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']"
140,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']"
141,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']"
142,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']"
143,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
144,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
145,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
146,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84']"
147,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
148,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
149,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
150,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
151,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
152,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
153,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
154,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
155,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
156,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
157,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
158,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
159,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
160,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
161,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
162,"['OCC_DOY', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']"
